,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
689,2019-11-21,Thursday,,,,,,,Festas S Martinho,Festas S Martinho,,
690,2019-11-22,Friday,,,,,,,,Festas S Martinho,,
691,2019-11-23,Saturday,,,,,,,,,,
692,2019-11-24,Sunday,,,,,,,,,,
693,2019-11-25,Monday,,,,,,,,,,
694,2019-11-26,Tuesday,,,,,,,,,,
695,2019-11-27,Wednesday,,,,,,,,,,
696,2019-11-28,Thursday,,,,,,,,,,
697,2019-11-29,Friday,,,,,,Restauracao da independencia,,,,
698,2019-11-30,Saturday,,,,,Restauracao da independencia,,,,,
699,2019-12-01,Sunday,Restauracao da independencia,,,,,,,,,
700,2019-12-02,Monday,,,Restauracao da independencia,,,,,,,
701,2019-12-03,Tuesday,,,,Restauracao da independencia,,,,,,
702,2019-12-04,Wednesday,,,,,,,,,,
703,2019-12-05,Thursday,,,,,,,,,,
704,2019-12-06,Friday,,,,,,Dia da Imaculada Conceicao,,,,
705,2019-12-07,Saturday,,,,,Dia da Imaculada Conceicao,,,,,
706,2019-12-08,Sunday,Dia da Imaculada Conceicao,,,,,,,,,
707,2019-12-09,Monday,,,Dia da Imaculada Conceicao,,,,,,,
708,2019-12-10,Tuesday,,,,Dia da Imaculada Conceicao,,,,,,
709,2019-12-11,Wednesday,,,,,,,,,,
710,2019-12-12,Thursday,,,,,,,,,,
711,2019-12-13,Friday,,,,,,,,,,
712,2019-12-14,Saturday,,,,,,,,,,
713,2019-12-15,Sunday,,,,,,,,,,
714,2019-12-16,Monday,,,,,,,,,,
715,2019-12-17,Tuesday,,,,,,,,,,
716,2019-12-18,Wednesday,,,,,,,,,,
717,2019-12-19,Thursday,,,,,,,,,,
718,2019-12-20,Friday,,,,,,,,,,
719,2019-12-21,Saturday,,,,,,,,,,
